City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,leningradskiy,99,RU,1590356661,97,69.38,178.42,30.47,12.03
345,le port,20,RE,1590356661,68,-20.94,55.29,71.6,10.29
346,dukat,100,RU,1590356661,98,62.55,155.55,31.33,4.03
347,tiarei,40,PF,1590356662,66,-17.53,-149.33,86.0,5.82
348,meulaboh,100,ID,1590356662,96,4.14,96.13,75.56,8.84
349,bud,1,US,1590356662,62,39.45,-86.18,84.2,4.7
350,mildura,0,AU,1590356663,93,-34.2,142.15,42.8,6.93
351,karratha,86,AU,1590356663,73,-20.74,116.85,73.38,18.68
352,thinadhoo,100,MV,1590356663,77,0.53,72.93,83.62,10.54
353,the valley,20,AI,1590356524,66,18.22,-63.06,86.0,10.29
354,agadez,77,NE,1590356664,19,19.75,10.25,92.26,11.34
355,mporokoso,0,ZM,1590356664,71,-9.37,30.12,57.07,4.29
356,choctaw,20,US,1590356664,61,35.5,-97.27,86.0,12.75
357,auki,81,SB,1590356665,76,-8.77,160.7,82.44,3.44
358,nautanwa,81,IN,1590356665,51,27.43,83.42,83.39,6.17
359,hastings,97,GB,1590356665,75,50.86,0.57,59.0,1.01
360,galveston,100,US,1590356583,75,29.37,-94.97,87.01,4.0
361,santiago,0,CL,1590356387,17,-33.46,-70.65,78.8,3.36
362,fort nelson,75,CA,1590356412,34,58.81,-122.7,68.0,5.82
363,estevan,90,CA,1590356666,47,49.13,-102.98,59.0,17.22
364,kotido,86,UG,1590356667,81,2.98,34.13,69.3,1.88
365,kvam,11,NO,1590356667,73,61.67,9.69,41.81,5.5
366,labuhan,65,ID,1590356667,87,-6.88,112.21,80.02,4.7
367,champerico,40,GT,1590356667,63,14.3,-91.92,93.2,9.17
368,lillooet,75,CA,1590356668,45,50.69,-121.94,66.2,14.99
369,bam,8,IR,1590356668,17,29.11,58.36,83.66,7.99
370,lundazi,0,ZM,1590356668,83,-12.29,33.18,58.48,5.59
371,nicolet,1,CA,1590356668,23,46.22,-72.62,77.0,9.17
372,ninh binh,96,VN,1590356669,94,20.25,105.97,79.11,1.77
373,noyabrsk,95,RU,1590356669,73,63.2,75.45,49.21,8.5
374,struer,95,DK,1590356669,90,56.49,8.58,48.99,1.01
375,san pedro,75,PH,1590356670,78,14.35,121.02,82.4,3.36
376,tshane,0,BW,1590356670,37,-24.02,21.87,57.49,9.26
